#group,false,false,false,false,false
#datatype,double,double,string,double,dateTime:RFC3339
#default,,,,,
,humidity,light,node_id,temperature,time
,71.4,0,smart_art_1,18.8,2025-12-14T02:52:19.926231Z
,71.6,0,smart_art_1,18.8,2025-12-14T02:57:19.83821Z
,71.6,0,smart_art_1,18.8,2025-12-14T03:02:19.799468Z
,71.6,0,smart_art_1,18.7,2025-12-14T03:07:19.794402Z
,71.6,0,smart_art_1,18.7,2025-12-14T03:12:19.820608Z
,71.7,0,smart_art_1,18.7,2025-12-14T03:17:19.84822Z
,71.9,0,smart_art_1,18.7,2025-12-14T03:22:19.886381Z
,72.1,0,smart_art_1,18.6,2025-12-14T03:27:19.904837Z
,71.9,0,smart_art_1,18.7,2025-12-14T03:32:19.828172Z
,72.2,0,smart_art_1,18.7,2025-12-14T03:37:19.846402Z
,72.1,0,smart_art_1,18.7,2025-12-14T03:42:19.871679Z
,72.1,0,smart_art_1,18.7,2025-12-14T03:47:19.770268Z
,72.3,0,smart_art_1,18.6,2025-12-14T03:52:20.151255Z
,72.2,0,smart_art_1,18.6,2025-12-14T03:57:19.855266Z
,72.2,0,smart_art_1,18.6,2025-12-14T04:02:19.785647Z
,72.2,0,smart_art_1,18.6,2025-12-14T04:07:19.812375Z
,72.3,0,smart_art_1,18.6,2025-12-14T04:12:19.822408Z
,72.3,0,smart_art_1,18.6,2025-12-14T04:17:19.752139Z
,72.3,0,smart_art_1,18.6,2025-12-14T04:22:19.742724Z
,72.5,0,smart_art_1,18.6,2025-12-14T04:27:19.81309Z
,72.5,0,smart_art_1,18.6,2025-12-14T04:32:19.724228Z
,72.5,0,smart_art_1,18.5,2025-12-14T04:37:19.762032Z
,72.6,0,smart_art_1,18.5,2025-12-14T04:42:19.781194Z
,72.7,0,smart_art_1,18.5,2025-12-14T04:47:19.709629Z
,72.7,0,smart_art_1,18.5,2025-12-14T04:52:19.742988Z
,72.8,0,smart_art_1,18.5,2025-12-14T04:57:19.716719Z
,72.8,0,smart_art_1,18.4,2025-12-14T05:02:19.712715Z
,72.9,0,smart_art_1,18.5,2025-12-14T05:07:19.713797Z
,72.9,0,smart_art_1,18.5,2025-12-14T05:12:19.691363Z
,72.9,0,smart_art_1,18.4,2025-12-14T05:17:19.765508Z
,72.9,0,smart_art_1,18.4,2025-12-14T05:22:19.680652Z
,72.9,0,smart_art_1,18.4,2025-12-14T05:27:19.67613Z
,72.9,0,smart_art_1,18.4,2025-12-14T05:32:19.747578Z
,72.9,0,smart_art_1,18.4,2025-12-14T05:37:19.773659Z
,73,0,smart_art_1,18.4,2025-12-14T05:42:19.673177Z
,73.1,0,smart_art_1,18.4,2025-12-14T05:47:19.716865Z
,73.1,0,smart_art_1,18.3,2025-12-14T05:52:19.744044Z
,73.1,0,smart_art_1,18.4,2025-12-14T05:57:19.657476Z
,73.1,0,smart_art_1,18.3,2025-12-14T06:02:19.652881Z
,73.1,0,smart_art_1,18.3,2025-12-14T06:07:19.731034Z
,73.1,0,smart_art_1,18.3,2025-12-14T06:12:19.7564Z
,73.2,0,smart_art_1,18.3,2025-12-14T06:17:19.65291Z
,73.1,0,smart_art_1,18.3,2025-12-14T06:22:19.714432Z
,73.2,0,smart_art_1,18.3,2025-12-14T06:27:19.646429Z
,73.2,0,smart_art_1,18.2,2025-12-14T06:32:19.671669Z
,73.1,0,smart_art_1,18.2,2025-12-14T06:37:19.680332Z
,73.3,0,smart_art_1,18.2,2025-12-14T06:42:19.711371Z
,73.3,0,smart_art_1,18.2,2025-12-14T06:47:19.606746Z
,73.3,0,smart_art_1,18.2,2025-12-14T06:52:19.60337Z
,73.4,0,smart_art_1,18.2,2025-12-14T06:57:19.626339Z
,73.3,0,smart_art_1,18.1,2025-12-14T07:02:19.619969Z
,73.4,0,smart_art_1,18.1,2025-12-14T07:07:19.605383Z
,73.4,0,smart_art_1,18.1,2025-12-14T07:12:19.641157Z
,73.4,0,smart_art_1,18.1,2025-12-14T07:17:19.692652Z
,73.4,0,smart_art_1,18.1,2025-12-14T07:22:19.583642Z
,73.4,0,smart_art_1,18.1,2025-12-14T07:27:19.644054Z
,73.5,0,smart_art_1,18.1,2025-12-14T07:32:19.572727Z
,73.6,0,smart_art_1,18,2025-12-14T07:37:19.596085Z
,73.6,0,smart_art_1,18,2025-12-14T07:42:19.622595Z
,73.5,0,smart_art_1,18,2025-12-14T07:47:19.570424Z
,73.6,0,smart_art_1,18,2025-12-14T07:52:19.557696Z
,73.8,0,smart_art_1,18,2025-12-14T07:57:19.59311Z
,73.7,0,smart_art_1,18,2025-12-14T08:02:19.54011Z
,73.7,0,smart_art_1,18,2025-12-14T08:07:19.544295Z
,73.6,0,smart_art_1,17.9,2025-12-14T08:12:19.574347Z
,73.6,0,smart_art_1,17.9,2025-12-14T08:17:19.607746Z
,73.8,0,smart_art_1,17.9,2025-12-14T08:22:19.629999Z
,73.7,0,smart_art_1,17.9,2025-12-14T08:27:19.541217Z
,73.8,0,smart_art_1,17.9,2025-12-14T08:32:19.519232Z
,73.9,0,smart_art_1,17.9,2025-12-14T08:38:47.255227Z
,73.8,0,smart_art_1,17.9,2025-12-14T08:43:47.202671Z
,74,0,smart_art_1,17.9,2025-12-14T08:48:47.183556Z
,59.8,499,smart_art_1,16.3,2025-12-14T08:53:47.237375Z
,58.5,530,smart_art_1,15.2,2025-12-14T08:58:47.179952Z
,55.9,598,smart_art_1,15.3,2025-12-14T09:05:42.283987Z
,56.8,656,smart_art_1,15.7,2025-12-14T09:10:42.306869Z
,54.9,695,smart_art_1,15.7,2025-12-14T09:15:42.327925Z
,55.1,720,smart_art_1,15.8,2025-12-14T09:20:42.361935Z
,54.8,795,smart_art_1,15.8,2025-12-14T09:25:42.38676Z
,57.5,842,smart_art_1,17,2025-12-14T09:30:42.261981Z
,56.6,864,smart_art_1,18,2025-12-14T09:35:42.33348Z
,56.5,868,smart_art_1,18.5,2025-12-14T09:40:42.251049Z
,56.4,878,smart_art_1,18.9,2025-12-14T09:45:42.254286Z
,56.6,880,smart_art_1,19.1,2025-12-14T09:50:42.30848Z
,56.9,880,smart_art_1,19.2,2025-12-14T09:55:42.340353Z
,57.3,877,smart_art_1,19.4,2025-12-14T10:00:42.244205Z
,57.2,868,smart_art_1,19.6,2025-12-14T10:05:42.2542Z
,57.6,851,smart_art_1,19.7,2025-12-14T10:10:42.310629Z
,57.9,859,smart_art_1,19.7,2025-12-14T10:15:42.347124Z
,58.4,843,smart_art_1,19.7,2025-12-14T10:20:42.24473Z
,58.7,837,smart_art_1,19.7,2025-12-14T10:25:42.294025Z
,58.9,839,smart_art_1,19.8,2025-12-14T10:30:42.32104Z
,58.9,849,smart_art_1,19.9,2025-12-14T10:35:42.338165Z
,59.2,826,smart_art_1,20,2025-12-14T10:40:42.267532Z
,59.3,814,smart_art_1,20.1,2025-12-14T10:45:42.299059Z
,60.7,801,smart_art_1,19.7,2025-12-14T10:50:42.320863Z
,61.4,768,smart_art_1,19.4,2025-12-14T10:57:07.185217Z
,61.9,756,smart_art_1,19.2,2025-12-14T11:02:07.161736Z
,62.3,752,smart_art_1,19.1,2025-12-14T11:07:07.096381Z
,62.6,738,smart_art_1,19,2025-12-14T11:12:07.111123Z
,62.9,720,smart_art_1,18.9,2025-12-14T11:17:07.129676Z
,63.2,719,smart_art_1,18.8,2025-12-14T11:22:07.082984Z
,63.6,690,smart_art_1,18.7,2025-12-14T11:27:07.069411Z
,63.8,695,smart_art_1,18.6,2025-12-14T11:32:07.067224Z
,63.9,673,smart_art_1,18.5,2025-12-14T11:37:07.06905Z
,64.1,671,smart_art_1,18.4,2025-12-14T11:42:07.075788Z
,64.2,658,smart_art_1,18.5,2025-12-14T11:47:07.062703Z
,64.1,646,smart_art_1,18.6,2025-12-14T11:52:07.060624Z
,64.2,631,smart_art_1,18.6,2025-12-14T11:57:07.056291Z
,64.4,625,smart_art_1,18.5,2025-12-14T12:02:07.046535Z
,64.5,603,smart_art_1,18.5,2025-12-14T12:07:07.090775Z
,64.6,604,smart_art_1,18.5,2025-12-14T12:12:07.043818Z
,64.6,592,smart_art_1,18.6,2025-12-14T12:17:07.13453Z
,64.8,581,smart_art_1,18.5,2025-12-14T12:22:07.058933Z
,65.1,557,smart_art_1,18.3,2025-12-14T12:27:07.086087Z
,65.3,533,smart_art_1,18.3,2025-12-14T12:32:07.038425Z
,65.4,511,smart_art_1,18.2,2025-12-14T12:37:07.158469Z
,65.4,479,smart_art_1,18.2,2025-12-14T12:42:07.063637Z
,65.6,462,smart_art_1,18.2,2025-12-14T12:47:07.02749Z
,65.6,438,smart_art_1,18.1,2025-12-14T12:52:07.016969Z
,65.7,432,smart_art_1,18.1,2025-12-14T12:57:07.011188Z
,65.8,430,smart_art_1,18,2025-12-14T13:02:07.062205Z
,65.9,411,smart_art_1,18,2025-12-14T13:07:07.016529Z
,66,421,smart_art_1,18,2025-12-14T13:12:07.101983Z
,66,432,smart_art_1,17.9,2025-12-14T13:17:07.030767Z
,66.1,439,smart_art_1,17.9,2025-12-14T13:22:07.068922Z
,66.1,490,smart_art_1,17.9,2025-12-14T13:27:06.99125Z
,66.1,456,smart_art_1,17.9,2025-12-14T13:32:06.988153Z
,66.2,385,smart_art_1,17.9,2025-12-14T13:37:06.990395Z
